pointing    fwhm    fwhm_err
IC5332_P01  0.743   0.05
IC5332_P02  0.944   0.05
IC5332_P03  0.659   0.02
IC5332_P04  0.766   0.05
IC5332_P05  0.812   0.05
NGC1672_P01 0.665   0.03
NGC1672_P02 0.836   0.01
NGC1672_P03 0.796   0.05 
NGC1672_P06 0.743   0.05
NGC1672_P07 0.808   0.05
NGC1672_P08 0.959   0.05
NGC2835_P01 0.830   0.05
NGC2835_P02 1.030   0.05
NGC2835_P03 0.816   0.05
NGC2835_P04 0.704   0.05
NGC2835_P05 0.882   0.05
NGC2835_P06 0.696   0.05
NGC3627_P04 1.033   0.05
NGC3627_P05 1.265   0.05
NGC3627_P07 0.770   0.01
NGC1087_P04 0.697   0.05
NGC1087_P05 0.949   0.05
NGC1087_P06 0.729   0.05
