pointing n
IC5332_P03_x130_y292 2.6668426188068484
IC5332_P03_x83_y137 3.5452286620684625
NGC1365_P04_x34_y229 2.6480757208805596
NGC1365_P06_x46_y114 3.0817726983158105
NGC1365_P07_x189_y99 2.7626761627009113
NGC1365_P07_x204_y75 4.740853699682935
NGC1672_P02_x134_y306 2.7982400497642317
NGC1672_P02_x246_y221 2.375197217697757
NGC1672_P02_x258_y285 2.635301217063912
NGC1672_P02_x271_y175 2.6222036043211516
NGC1672_P02_x66_y186 2.7694767328791565
NGC1672_P06_x225_y201 2.487464222831679
NGC2835_P02_x152_y220 2.5998156679040902
NGC2835_P04_x15_y51 2.820850390195788
NGC3627_P07_x303_y174 2.857196582098571
NGC3627_P07_x223_y196 2.6156187055209124
NGC4254_P06_x36_y218 1.8892571959870335
NGC4535_P01_x244_y159 2.2369077244245053
NGC4535_P03_x250_y251 2.603992175411557
