pointing               fwhm    fwhm_err    n       n_err
IC5332_P03_x83_y137    0.666   0.055       3.577   0.115
IC5332_P03_x130_y292   0.625   0.025       3.082   0.046
NGC1365_P04_x34_y229    0.921   0.053       3.116   0.077
NGC1365_P06_x46_y114    0.719   0.067       3.359   0.131
NGC1365_P07_x189_y99    0.570   0.038       2.941   0.088 
NGC1365_P07_x204_y75    0.630   0.094       3.304   0.218
NGC1672_P02_x66_y186    0.838   0.030       2.623   0.051
NGC1672_P02_x134_y306   0.832   0.037       2.661   0.063
NGC1672_P02_x246_y221   0.827   0.022       2.644   0.037
NGC1672_P02_x258_y285   0.827   0.038       3.012   0.070
NGC1672_P02_x271_y175   0.836   0.031       2.927   0.057
NGC1672_P06_x225_y201   0.767   0.060       2.882   0.094  
NGC2835_P02_x152_y220   0.988   0.067       2.719   0.112
NGC2835_P04_x15_y51     0.699   0.076       2.895   0.157
NGC3627_P07_x223_y196   0.752   0.031       2.787   0.059
NGC3627_P07_x303_y174   0.784   0.049       3.155   0.084  

